,2022-09-24,2021-09-25,2020-09-26,2019-09-28
Total Liab,302083000000.0,287912000000.0,258549000000.0,248028000000.0
Total Stockholder Equity,50672000000.0,63090000000.0,65339000000.0,90488000000.0
Other Current Liab,67094000000.0,53577000000.0,47867000000.0,43242000000.0
Total Assets,352755000000.0,351002000000.0,323888000000.0,338516000000.0
Common Stock,64849000000.0,57365000000.0,50779000000.0,45174000000.0
Other Current Assets,21223000000.0,14111000000.0,11264000000.0,12352000000.0
Retained Earnings,-3068000000.0,5562000000.0,14966000000.0,45898000000.0
Other Liab,38394000000.0,43050000000.0,46108000000.0,50503000000.0
Gains Losses Not Affecting Retained Earnings,-11109000000.0,163000000.0,-406000000.0,-584000000.0
Other Assets,44011000000.0,38762000000.0,33952000000.0,32978000000.0
Cash,23646000000.0,34940000000.0,38016000000.0,48844000000.0
Total Current Liabilities,153982000000.0,125481000000.0,105392000000.0,105718000000.0
Short Long Term Debt,11128000000.0,9613000000.0,8773000000.0,10260000000.0
Other Stockholder Equity,-11109000000.0,163000000.0,-406000000.0,-584000000.0
Property Plant Equipment,52534000000.0,49527000000.0,45336000000.0,37378000000.0
Total Current Assets,135405000000.0,134836000000.0,143713000000.0,162819000000.0
Long Term Investments,120805000000.0,127877000000.0,100887000000.0,105341000000.0
Net Tangible Assets,50672000000.0,63090000000.0,65339000000.0,90488000000.0
Short Term Investments,24658000000.0,27699000000.0,52927000000.0,51713000000.0
Net Receivables,60932000000.0,51506000000.0,37445000000.0,45804000000.0
Long Term Debt,98959000000.0,109106000000.0,98667000000.0,91807000000.0
Inventory,4946000000.0,6580000000.0,4061000000.0,4106000000.0
Accounts Payable,64115000000.0,54763000000.0,42296000000.0,46236000000.0
